State,base_model,batch_size,end_lr_divisor,eval_only,finetune_method,n_shot,split,start_lr,virtual_tokens,train/epoch,val/best_acc,val/best_acc_given_valid,val/best_valid,val/correct_given_valid
finished,bigscience/bloomz-1b7,2,10,FALSE,prefix,0,ARC-Easy,0.01,45,119,0.62280701754386,0.649350649350649,0.996491228070175,0.60989010989011
finished,bigscience/bloomz-1b7,2,10,FALSE,prefix,0,ARC-Easy,0.01,30,119,0.614035087719298,0.65450643776824,0.978947368421053,0.607003891050584
finished,bigscience/bloomz-1b7,2,10,FALSE,prefix,1,ARC-Easy,0.01,60,119,0.519298245614035,0.6875,0.910526315789474,0.561604584527221
finished,bigscience/bloomz-1b7,2,10,FALSE,prefix,1,ARC-Easy,0.01,30,119,0.494736842105263,0.653409090909091,0.854385964912281,0.553240740740741
finished,bigscience/bloomz-1b7,2,10,FALSE,prefix,1,ARC-Challenge,0.01,45,119,0.418060200668896,0.435540069686411,0.959866220735786,0.383620689655172
finished,bigscience/bloomz-1b7,2,10,FALSE,prefix,1,ARC-Challenge,0.01,60,119,0.387959866220736,0.418772563176895,0.94314381270903,0.37593984962406
finished,bigscience/bloomz-1b7,2,10,FALSE,prefix,0,ARC-Challenge,0.01,45,119,0.384615384615385,0.430711610486891,0.979933110367893,0.366141732283465
finished,bigscience/bloomz-1b7,2,10,FALSE,prefix,0,ARC-Challenge,0.01,60,119,0.361204013377926,0.454545454545455,0.953177257525084,0.448275862068966
finished,bigscience/bloomz-1b7,2,10,FALSE,prefix,0,ARC-Challenge,0.01,30,119,0.351170568561873,0.433628318584071,0.979933110367893,0.380597014925373
finished,bigscience/bloomz-1b7,2,10,FALSE,prefix,1,ARC-Challenge,0.01,30,119,0.290969899665552,0.420634920634921,0.956521739130435,0.316037735849057
finished,bigscience/bloomz-1b7,2,10,FALSE,prefix,5,ARC-Easy,0.01,45,119,0.028070175438597,0.028070175438597,1,0.010526315789474
finished,bigscience/bloomz-1b7,2,10,FALSE,prefix,5,ARC-Easy,0.01,30,119,0.017543859649123,0.017574692442882,1,0.010544815465729
finished,bigscience/bloomz-1b7,2,10,FALSE,prefix,5,ARC-Easy,0.01,60,119,0.014035087719298,0.014059753954306,1,0.007017543859649
finished,bigscience/bloomz-1b7,2,10,FALSE,prefix,5,ARC-Challenge,0.01,45,119,0.010033444816054,0.010033444816054,1,0
finished,bigscience/bloomz-1b7,2,10,FALSE,prefix,5,ARC-Challenge,0.01,30,119,0.006688963210702,0.006688963210702,1,0.003344481605351
finished,bigscience/bloomz-1b7,2,10,FALSE,prefix,5,ARC-Challenge,0.01,60,119,0.006688963210702,0.006688963210702,1,0
crashed,bigscience/bloomz-1b7,2,10,FALSE,prefix,0,ARC-Easy,0.01,60,76,,,,
crashed,bigscience/bloomz-1b7,2,10,FALSE,prefix,1,ARC-Easy,0.01,45,,,,,0.514084507042254
